blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
76	tree18.jpg	6	0	0.647346	1	1	50.5198	74.7	-1	-1	0	12	102	1	0	1	0
77	tree28.jpg	6	1	0.794172	6	2	74.2813	57.33	-1	1	0	10	102	0	1	1	0
82	tree37.jpg	1	1	1.12956	1	2	62.0136	57.61	-1	1	0	7	102	1	0	0	1
83	tree37.jpg	1	1	0.629469	1	2	35.9651	31.99	-1	1	0	8	102	1	0	0	1
84	tree28.jpg	6	1	0.699471	6	2	30.5997	21.33	-1	1	0	11	102	0	1	1	0
85	tree16.jpg	1	1	0.915871	1	2	86.2017	71.29	-1	1	0	12	102	1	0	0	1
86	tree31.jpg	6	0	0.964433	1	1	47.2844	74.84	-1	-1	0	12	102	1	0	1	0
87	tree31.jpg	6	0	1.355547	1	1	44.6619	78.01	-1	-1	0	13	102	1	0	1	0
88	tree11.jpg	1	1	0.758711	1	2	58.3643	42.13	-1	1	0	8	102	1	0	0	1
90	tree37.jpg	1	1	0.78528	1	2	67.8653	60.93	-1	1	0	9	102	1	0	0	1
